OBJECTID,Damage_Status,STREET,PRE_DIR,PRE_TYPE,NAME,TYPE,SUF_DIR,ALIAS1,ALIAS1_TYP,ALIAS2,ALIAS2_TYP,NAME_ACCUR,L_F_ADD,L_T_ADD,R_F_ADD,R_T_ADD,ADD_ACCUR,SOURCE_DAT,DATA_SECUR,DISTRIBUTI,LOADDATE,QUALITY,SCALE,CO_NAME,MDEM_ID,Shape_Leng,Z_Mean,Z_Min,Z_Max,Avg_Slope,Min_Slope,Max_Slope,Nearest_Gauge,Max_Height,Return_Period,Max_WVHT,Max_Dir,Avg_WVHT,Avg_Dir,Max_WSPD,Max_WSPD_Dir,Avg_WSPD,Avg_WSPD_Dir,Nearest_Precip_Gauge,Precipitation,Rel_Elev_Mean,Rel_Elev_Min,Rel_Elev_Max,Longitude,Latitude,Distance_to_Coast_m,Inundation_Duration_Min
11912,No Damage,E BEACH BLVD,E,,BEACH,BLVD,,90,HWY,,,7,0,0,0,0,7,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,243.9803704,3.306807548,3.00666666,3.86833334,2.815068371,0.061520316,7.964593887,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,78.78,1.521807548,1.22166666,2.08333334,-89.2501321,30.31300129,29.7791205,0
8222,No Damage,W BEACH BLVD,W,,BEACH,BLVD,,90,HWY,,,2,0,0,400,498,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,164.3682862,1.848378787,1.445000052,2.325000048,1.567002939,0.192775562,4.683069229,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,41.78,0.063378787,-0.339999948,0.540000048,-89.2567372,30.31127333,88.83208511,240
12695,No Damage,E 2ND ST,E,,2ND,ST,,,,,,3,437,499,426,498,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,88.30809446,4.475100133,4.152222157,4.95714283,1.357988222,0.044669706,4.229357719,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,570.78,2.690100133,2.367222157,3.17214283,-89.238282,30.31947239,350.5214733,0
11309,Damage,E BEACH BLVD,E,,BEACH,BLVD,,90,HWY,,,7,0,0,0,0,7,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,867.1557972,3.044025692,2.586666584,3.430000067,2.062023611,0.041530177,8.221066475,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,545.78,1.259025692,0.801666584,1.645000067,-89.2327118,30.31858028,67.89293756,0
19757,No Damage,E SCENIC DR,E,,SCENIC,DR,,,,,,2,501,599,500,598,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,454.3714543,5.314252163,4.590000153,5.900000095,1.816658425,0.097014502,5.194379807,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,695.78,3.529252163,2.805000153,4.115000095,-89.2348016,30.31825556,113.3234759,0
9972,No Damage,E SCENIC DR,E,,SCENIC,DR,,,,,,2,601,699,600,698,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,419.1267037,5.591227144,5.010000229,5.975999832,2.169970822,0.198544979,5.98091507,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,526.78,3.806227144,3.225000229,4.190999832,-89.2306725,30.31981738,107.6928244,0
18721,No Damage,DONLIN AVE,,,DONLIN,AVE,,,,,,2,105,109,100,110,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,281.2748571,6.5665185,5.297272682,7.329999924,1.182328939,0.056816854,3.939136267,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,680.78,4.7815185,3.512272682,5.544999924,-89.232772,30.32026461,115.0284159,0
19545,No Damage,E 2ND ST,E,,2ND,ST,,,,,,2,533,553,532,554,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,199.8500987,5.986640062,5.664999962,6.275000095,1.144376137,0.043573003,3.800698996,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,694.78,4.201640062,3.879999962,4.490000095,-89.2348428,30.32087964,385.1676164,0
9442,No Damage,E 2ND ST,E,,2ND,ST,,,,,,2,501,531,500,530,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,219.7078397,5.476928597,4.715000153,6,1.097512589,0.116140217,3.261934042,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,517.78,3.691928597,2.930000153,4.215,-89.2366994,30.32013399,359.9991592,0
17467,Damage,E BEACH BLVD,E,,BEACH,BLVD,,90,HWY,,,7,0,0,0,0,7,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,867.0671092,3.365617047,2.922499895,4.130000114,2.292301224,0.014423372,9.880964279,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,657.78,1.580617047,1.137499895,2.345000114,-89.2327326,30.31870333,80.99577151,0
14325,No Damage,,,,,,,,,,,0,0,0,0,0,0,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,125.2821142,6.419847631,5.518000126,6.800000191,1.024810074,0.098160997,2.728961706,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,600.78,4.634847631,3.733000126,5.015000191,-89.2301997,30.3206163,116.5890839,0
17726,No Damage,COURTENAY AVE,,,COURTENAY,AVE,,,,,,2,103,199,104,198,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,299.890447,6.390012077,5.406000137,7.079999924,1.38854151,0.147338346,4.089183807,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,662.78,4.605012077,3.621000137,5.294999924,-89.2284798,30.32184693,111.4345289,0
15037,No Damage,E 2ND ST,E,,2ND,ST,,,,,,2,601,699,600,698,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,477.2694964,6.212751798,5.447500229,6.597499847,1.194317033,0.056462806,4.625288486,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,618.78,4.427751798,3.662500229,4.812499847,-89.2308847,30.32245812,382.7813571,0
17155,No Damage,E 2ND ST,E,,2ND,ST,,,,,,2,701,727,700,728,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,260.6574072,5.876278915,5.050000191,6.769999981,0.941295918,0.099859051,2.512724638,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,651.78,4.091278915,3.265000191,4.984999981,-89.2272569,30.32368717,366.4188881,0
13686,No Damage,E BEACH BLVD,E,,BEACH,BLVD,,90,HWY,,,7,0,0,0,0,7,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,556.3256103,3.071228235,2,3.552000046,2.601971401,0.110330813,7.531510353,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,588.78,1.286228235,0.215,1.767000046,-89.2258721,30.32122055,68.01158983,0
14706,Damage,E BEACH BLVD,E,,BEACH,BLVD,,90,HWY,,,7,0,0,0,0,7,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,535.792223,3.240129608,2.875,3.838000059,1.802259199,0.051168639,7.20328474,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,609.78,1.455129608,1.09,2.053000059,-89.2206329,30.32333715,75.44226938,0
10498,No Damage,E SCENIC DR,E,,SCENIC,DR,,,,,,2,801,899,800,898,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,548.2911468,6.68453522,5.539999962,7.409999847,2.357348737,0.288840443,8.279649734,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,534.78,4.89953522,3.754999962,5.624999847,-89.2204694,30.3237189,102.6028735,0
6846,No Damage,LANG AVE,,,LANG,AVE,,,,,,2,103,199,102,198,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,258.4290987,6.870058525,6.46999979,7.110000134,0.903622267,0.033944968,4.047884941,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,477.78,5.085058525,4.68499979,5.325000134,-89.2231789,30.32401917,116.2073575,0
15222,No Damage,E 2ND ST,E,,2ND,ST,,,,,,2,729,799,730,798,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,289.1264592,6.646235686,6.087500095,7.110000134,0.876350789,0.054544583,4.089540482,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,622.78,4.861235686,4.302500095,5.325000134,-89.22451,30.32461455,348.2118792,0
11272,No Damage,E 2ND ST,E,,2ND,ST,,,,,,2,801,899,800,898,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,570.5210991,6.6415868,6.320000172,7.046666622,1.29332832,0.196181715,3.076007605,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,544.78,4.8565868,4.535000172,5.261666622,-89.2230314,30.32541585,365.6143834,0
16554,No Damage,E BEACH BLVD,E,,BEACH,BLVD,,90,HWY,,,2,959,965,0,0,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,645.7364842,3.260545739,2.917500019,4.166666508,1.615194789,0.040697936,10.28282356,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,637.78,1.475545739,1.132500019,2.381666508,-89.2148976,30.32525374,81.34000483,0
9937,Damage,W BEACH BLVD,W,,BEACH,BLVD,,90,HWY,,,3,0,0,0,0,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,164.7070616,1.911003814,1.730000019,2.157500029,0.662244327,0.026857369,1.74788177,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,525.78,0.126003814,-0.054999981,0.372500029,-89.1802834,30.33352382,56.88572319,36
18210,No Damage,E BEACH BLVD,E,,BEACH,BLVD,,90,HWY,,,2,973,1099,0,0,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,371.3265116,4.492460361,3.723333359,5.247499943,2.004101719,0.052901424,5.56675148,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,671.78,2.707460361,1.938333359,3.462499943,-89.2094251,30.32714457,87.11640533,0
18030,No Damage,E BEACH BLVD,E,,BEACH,BLVD,,90,HWY,,,2,1201,1299,0,0,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,211.1236799,3.209915954,2.769999981,3.809999943,1.822613076,0.191195279,5.241107464,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,668.78,1.424915954,0.984999981,2.024999943,-89.2051875,30.32795339,91.0760566,0
10859,No Damage,SHADOW LAWN AVE,,,SHADOW LAWN,AVE,,,,,,2,101,115,100,114,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,267.4197735,3.733327186,2.214999914,5.361818314,1.171518599,0.126020789,2.711604834,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,539.78,1.948327186,0.429999914,3.576818314,-89.1993476,30.33018042,80.77872052,0
18850,No Damage,E BEACH BLVD,E,,BEACH,BLVD,,90,HWY,,,2,1501,1549,0,0,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,399.5185097,2.149836401,1.92750001,2.329999924,0.683005608,0.036911681,3.969706059,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,681.78,0.364836401,0.14250001,0.544999924,-89.1926715,30.33079276,83.12162007,0
15600,No Damage,OAK ALY LN,,,OAK ALY,LN,,,,,,2,0,0,0,0,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,681.3144666,2.640865096,1.773000002,4.25,1.460016332,0.106509157,4.058614731,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,625.78,0.855865096,-0.011999998,2.465,-89.185407,30.33360173,85.75845884,6
9867,Damage,W BEACH BLVD,W,,BEACH,BLVD,,90,HWY,,,3,0,0,0,0,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,280.8657406,3.069369339,2.839999914,3.333333254,1.402730942,0.025699215,5.458758831,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,524.78,1.284369339,1.054999914,1.548333254,-89.1564059,30.34271435,83.28583437,0
6504,No Damage,W BEACH BLVD,W,,BEACH,BLVD,,90,HWY,,,3,0,0,0,0,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,290.9339924,2.060652164,1.803333282,2.339999914,0.863959403,0.052825406,2.97875905,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,473.78,0.275652164,0.018333282,0.554999914,-89.1757813,30.33557866,70.780846,0
13142,No Damage,W BEACH BLVD,W,,BEACH,BLVD,,90,HWY,,,3,0,0,700,798,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,191.9043932,2.104525446,1.873333335,2.359999895,1.210246723,0.02984152,6.83305645,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,579.78,0.319525446,0.088333335,0.574999895,-89.1713936,30.33725175,80.73371155,0
18493,No Damage,W BEACH BLVD,W,,BEACH,BLVD,,90,HWY,,,3,0,0,572,590,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,88.20459036,2.991335589,2.819999933,3.186000109,1.084997893,0.311989576,3.111801147,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,674.78,1.206335589,1.034999933,1.401000109,-89.1651578,30.33976252,102.8285739,0
11611,No Damage,W BEACH BLVD,W,,BEACH,BLVD,,90,HWY,,,3,0,0,432,436,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,81.84470831,3.819449442,3.522500038,4.050000191,1.162374194,0.082622506,3.511095524,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,547.78,2.034449442,1.737500038,2.265000191,-89.1573104,30.34265296,110.8416664,0
14078,No Damage,MASON AVE,,,MASON,AVE,,,,,,2,499,499,500,500,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,110.9180134,4.587147702,3.859999895,5.070000172,1.25177343,0.052202579,5.26546669,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,595.78,2.802147702,2.074999895,3.285000172,-89.1507726,30.34561505,185.3788022,0
14153,Damage,W BEACH BLVD,W,,BEACH,BLVD,,90,HWY,,,3,0,0,0,0,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,630.2915802,2.953512721,2.473333359,3.450000048,2.287887922,0.056353424,11.1847887,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,710.78,1.168512721,0.688333359,1.665000048,-89.1371767,30.34977187,76.21892842,0
12958,No Damage,E BEACH BLVD,E,,BEACH,BLVD,,90,HWY,,,3,100,298,0,0,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,517.2525626,2.192045398,1.617499948,2.568571329,0.968634,0.028152319,3.64590168,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,577.78,0.407045398,-0.167500052,0.783571329,-89.1455747,30.34580963,86.06755951,114
8381,No Damage,E BEACH BLVD,E,,BEACH,BLVD,,90,HWY,,,3,600,698,0,0,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,438.0992851,4.110033559,3,5.340000153,2.397615679,0.061338119,12.42401981,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,708.78,2.325033559,1.215,3.555000153,-89.138161,30.3493915,90.86288752,0
9539,No Damage,,,,,,,,,,,0,0,0,0,0,0,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,91.45668716,4.6894408,3.940000057,5.230000019,1.351983932,0.068473384,3.989073753,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,806.78,2.9044408,2.155000057,3.445000019,-89.1364553,30.35090697,102.7035194,0
6057,No Damage,E BEACH BLVD,E,,BEACH,BLVD,,90,HWY,,,3,830,838,0,0,2,Mississippi Gulf Base Mapping,5,E4,9/18/09,1,3,Harrison,2007 Coast,109.5578847,4.626284095,4.394545555,4.782000065,1.041625259,0.052921906,3.180851221,Dauphin Island,1.785,123,5.15,238,3.22,179,28.1,127,21.04,147,Brooklyn,749.78,2.841284095,2.609545555,2.997000065,-89.1316997,30.3525081,109.3589696,0
